발표시각,지역,해당지역,특보종류,특보수준,특보명령,발효시각
2020-09-24 08:00:00,부산·울산·경상남도,부산앞바다( 서부평수구역 ),풍랑,주의보,해제,2020-09-24 08:30:00
2020-09-24 09:40:00,부산·울산·경상남도,"울산앞바다( 평수구역 , 연안바다 ), 부산앞바다( 동부평수구역 , 연안바다 ), 거제시동부앞바다( 연안바다 )",풍랑,주의보,해제,2020-09-24 10:00:00
2020-09-24 11:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,해제,2020-09-24 12:00:00
2020-09-25 16:00:00,부산·울산·경상남도,남해동부앞바다(부산앞바다),풍랑,주의보,발표,2020-09-25 18:00:00
2020-09-25 16:00:00,부산·울산·경상남도,남해동부앞바다(부산앞바다),풍랑,주의보,발표,2020-09-25 19:00:00
2020-09-26 11:00:00,부산·울산·경상남도,"부산앞바다( 동부평수구역 , 연안바다 )",풍랑,주의보,해제,2020-09-26 11:00:00
2020-09-28 04:00:00,부산·울산·경상남도,"남해동부먼바다, 남해동부앞바다(부산앞바다)",풍랑,주의보,해제,2020-09-28 06:00:00
2020-10-07 23:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,발표,2020-10-08 02:00:00
2020-10-07 23:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,발표,2020-10-08 02:00:00
2020-10-08 04:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제, 통영)",강풍,주의보,발표,2020-10-08 07:00:00
2020-10-08 21:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,경보,변경,2020-10-08 21:00:00
2020-10-09 16:00:00,부산·울산·경상남도,"부산, 경상남도(거제, 통영)",강풍,주의보,해제,2020-10-09 18:00:00
2020-10-09 22:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,변경,2020-10-10 02:00:00
2020-10-10 09:00:00,부산·울산·경상남도,"부산앞바다( 서부평수구역 ), 거제시동부앞바다( 연안바다 )",풍랑,주의보,해제,2020-10-10 09:00:00
2020-10-10 23:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다)",풍랑,주의보,해제,2020-10-11 00:00:00
2020-11-08 10:00:00,부산·울산·경상남도,"부산, 경상남도(창원)",건조,주의보,발표,2020-11-08 10:00:00
2020-11-12 16:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(양산, 밀양, 김해, 창원)",건조,주의보,해제,2020-11-12 16:00:00
